epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,576.027,0.6867,0.59075,1.13382,0.94166,0.95392,0.98113,0.82822,0.69306,0.43265,1.1708,0.00045941,0.00045941,0.00045941
43,590.518,0.69034,0.58751,1.1183,0.92177,0.94693,0.96574,0.7941,0.72763,0.45865,1.20143,0.00045842,0.00045842,0.00045842
44,604.128,0.68826,0.61291,1.11805,0.94202,0.94895,0.97036,0.81218,0.71561,0.45175,1.19327,0.00045743,0.00045743,0.00045743
45,617.899,0.70147,0.60821,1.12896,0.91708,0.94139,0.97523,0.80715,0.70213,0.48196,1.16885,0.00045644,0.00045644,0.00045644
46,631.45,0.67894,0.60606,1.12141,0.93192,0.95102,0.97093,0.82164,0.67638,0.44804,1.15966,0.00045545,0.00045545,0.00045545
47,644.956,0.69459,0.60326,1.11556,0.94206,0.95629,0.97943,0.82105,0.70516,0.43444,1.18819,0.00045446,0.00045446,0.00045446
48,658.685,0.65813,0.56309,1.09966,0.95061,0.95945,0.97453,0.83225,0.6674,0.41436,1.14462,0.00045347,0.00045347,0.00045347
49,672.866,0.68058,0.56361,1.10445,0.93929,0.95906,0.97772,0.82374,0.67749,0.41387,1.1396,0.00045248,0.00045248,0.00045248
50,686.647,0.67596,0.60331,1.11873,0.95376,0.95029,0.97074,0.81857,0.68553,0.44565,1.14592,0.00045149,0.00045149,0.00045149
51,700.266,0.66697,0.56895,1.1092,0.9585,0.96801,0.98365,0.82921,0.70256,0.41462,1.16332,0.0004505,0.0004505,0.0004505
52,713.568,0.66141,0.55874,1.10152,0.95728,0.94946,0.97101,0.81394,0.68412,0.43369,1.14505,0.00044951,0.00044951,0.00044951
53,726.89,0.66876,0.55431,1.11239,0.96493,0.96749,0.97916,0.82767,0.67252,0.40315,1.14723,0.00044852,0.00044852,0.00044852
54,740.574,0.66084,0.5637,1.11791,0.94413,0.9552,0.97227,0.81703,0.6899,0.41284,1.16057,0.00044753,0.00044753,0.00044753
55,754.267,0.63879,0.52569,1.09318,0.93363,0.94962,0.96722,0.81433,0.69763,0.43618,1.15276,0.00044654,0.00044654,0.00044654
56,768.103,0.64395,0.54196,1.09155,0.94615,0.96149,0.97839,0.8259,0.69691,0.41298,1.16461,0.00044555,0.00044555,0.00044555
57,781.888,0.64521,0.56296,1.09441,0.95899,0.95225,0.97339,0.82309,0.68337,0.4085,1.15475,0.00044456,0.00044456,0.00044456
58,795.179,0.63831,0.56037,1.0986,0.94997,0.94382,0.9731,0.82288,0.70184,0.44476,1.19032,0.00044357,0.00044357,0.00044357
59,808.782,0.63541,0.55345,1.09309,0.94675,0.96818,0.98009,0.83171,0.66919,0.40004,1.15763,0.00044258,0.00044258,0.00044258
60,822.1,0.6345,0.51312,1.08956,0.93965,0.9741,0.97472,0.83106,0.67689,0.41164,1.19058,0.00044159,0.00044159,0.00044159
61,835.428,0.62905,0.52816,1.09568,0.95553,0.9669,0.98352,0.83855,0.6616,0.38217,1.13351,0.0004406,0.0004406,0.0004406
62,850.126,0.62769,0.52941,1.08434,0.95112,0.94981,0.97406,0.82328,0.68599,0.40055,1.16672,0.00043961,0.00043961,0.00043961
63,863.806,0.64268,0.5271,1.08733,0.94184,0.94744,0.97017,0.82531,0.66707,0.42433,1.13371,0.00043862,0.00043862,0.00043862
