epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,251.574,0.86129,0.78594,1.0914,0.91508,0.95104,0.97065,0.77826,0.84695,0.48286,1.0672,0.000471007,0.000471007,0.000471007
43,257.522,0.82224,0.74939,1.07005,0.92351,0.9635,0.97172,0.7437,0.94042,0.49576,1.13106,0.0004703,0.0004703,0.0004703
44,263.467,0.84065,0.78413,1.08472,0.92212,0.95412,0.96851,0.74238,0.93881,0.48306,1.10057,0.000469593,0.000469593,0.000469593
45,269.276,0.8068,0.72176,1.06614,0.93988,0.9663,0.9786,0.76924,0.87084,0.47556,1.08162,0.000468886,0.000468886,0.000468886
46,275.108,0.81827,0.76749,1.0732,0.93011,0.94036,0.96164,0.74357,0.91385,0.50396,1.10038,0.000468179,0.000468179,0.000468179
47,280.973,0.81044,0.7435,1.05642,0.93947,0.95722,0.97366,0.75509,0.91234,0.47699,1.09346,0.000467471,0.000467471,0.000467471
48,286.859,0.79257,0.70572,1.05299,0.89537,0.95512,0.96186,0.71878,0.97796,0.50878,1.12839,0.000466764,0.000466764,0.000466764
49,292.801,0.79002,0.71207,1.04367,0.95138,0.95301,0.97944,0.77468,0.85319,0.44095,1.05581,0.000466057,0.000466057,0.000466057
50,298.725,0.79019,0.70836,1.05768,0.93881,0.95159,0.97829,0.76482,0.88992,0.4851,1.09333,0.00046535,0.00046535,0.00046535
51,304.541,0.80542,0.72936,1.0673,0.93818,0.94596,0.97377,0.75508,0.92815,0.4966,1.11151,0.000464643,0.000464643,0.000464643
52,310.51,0.8154,0.71159,1.06341,0.93088,0.93272,0.96139,0.74079,0.91611,0.50374,1.10869,0.000463936,0.000463936,0.000463936
53,316.334,0.81078,0.7217,1.06127,0.92159,0.95944,0.97415,0.7753,0.85251,0.48572,1.05992,0.000463229,0.000463229,0.000463229
54,322.171,0.81581,0.71043,1.05997,0.9231,0.9555,0.97273,0.73793,0.97034,0.51842,1.12809,0.000462521,0.000462521,0.000462521
55,327.998,0.79673,0.69419,1.04607,0.92186,0.94562,0.97041,0.76346,0.88964,0.47196,1.07618,0.000461814,0.000461814,0.000461814
56,333.858,0.78661,0.70738,1.05548,0.9364,0.96006,0.96716,0.76988,0.84828,0.4654,1.06358,0.000461107,0.000461107,0.000461107
57,339.672,0.7994,0.71529,1.06114,0.90752,0.93931,0.97123,0.77831,0.80556,0.50288,1.0479,0.0004604,0.0004604,0.0004604
58,345.637,0.79107,0.69822,1.05695,0.92719,0.93721,0.97246,0.74545,0.94133,0.49274,1.10008,0.000459693,0.000459693,0.000459693
59,351.575,0.78607,0.70738,1.05899,0.91048,0.92934,0.95478,0.76219,0.83905,0.50107,1.05074,0.000458986,0.000458986,0.000458986
60,357.41,0.79447,0.69506,1.05034,0.93056,0.95104,0.97101,0.77,0.82645,0.4668,1.0667,0.000458279,0.000458279,0.000458279
61,363.265,0.79503,0.70614,1.05985,0.94011,0.93775,0.97352,0.76547,0.87455,0.45892,1.07411,0.000457571,0.000457571,0.000457571
62,369.096,0.80766,0.70577,1.06528,0.92883,0.93628,0.97019,0.78697,0.8012,0.45392,1.04601,0.000456864,0.000456864,0.000456864
63,375.029,0.78702,0.68535,1.05645,0.94117,0.9485,0.97144,0.76336,0.86787,0.44186,1.074,0.000456157,0.000456157,0.000456157
64,380.864,0.80647,0.70189,1.07202,0.92595,0.96151,0.97964,0.74954,0.96762,0.47588,1.13861,0.00045545,0.00045545,0.00045545
65,386.669,0.78941,0.67959,1.05599,0.96136,0.95088,0.98405,0.78335,0.84087,0.40756,1.05099,0.000454743,0.000454743,0.000454743
66,392.504,0.7832,0.68573,1.05322,0.93736,0.95615,0.9825,0.788,0.80983,0.44214,1.0519,0.000454036,0.000454036,0.000454036
67,398.522,0.78821,0.70075,1.05154,0.95349,0.96585,0.9835,0.77675,0.89051,0.43291,1.08951,0.000453329,0.000453329,0.000453329
68,404.36,0.77886,0.67493,1.04857,0.92592,0.94446,0.97734,0.78307,0.84179,0.44152,1.05433,0.000452621,0.000452621,0.000452621
69,410.166,0.80885,0.70346,1.07161,0.9503,0.95744,0.98439,0.79057,0.82075,0.42337,1.04921,0.000451914,0.000451914,0.000451914
70,416.114,0.77839,0.67407,1.05375,0.92411,0.95822,0.97635,0.76207,0.9261,0.45877,1.09301,0.000451207,0.000451207,0.000451207
71,421.922,0.78047,0.67108,1.05623,0.94256,0.95269,0.9741,0.7602,0.89561,0.46298,1.077,0.0004505,0.0004505,0.0004505
72,427.744,0.78634,0.686,1.05711,0.95406,0.94913,0.9834,0.77452,0.86364,0.42433,1.06769,0.000449793,0.000449793,0.000449793
73,433.566,0.78093,0.65451,1.04281,0.93615,0.96091,0.98314,0.77844,0.87276,0.43453,1.06743,0.000449086,0.000449086,0.000449086
74,439.493,0.78248,0.66586,1.04579,0.92248,0.9591,0.97362,0.7725,0.83613,0.44582,1.05021,0.000448379,0.000448379,0.000448379
75,445.332,0.76194,0.6486,1.04768,0.93479,0.96674,0.98149,0.77887,0.83057,0.4023,1.0492,0.000447671,0.000447671,0.000447671
76,451.192,0.76242,0.63605,1.03775,0.96242,0.95185,0.98161,0.79506,0.78996,0.39438,1.02337,0.000446964,0.000446964,0.000446964
77,457.329,0.78542,0.6569,1.04425,0.9265,0.95491,0.98047,0.74584,0.96474,0.47633,1.13008,0.000446257,0.000446257,0.000446257
78,463.213,0.75995,0.63008,1.0438,0.92154,0.94808,0.97636,0.75671,0.88963,0.47074,1.08245,0.00044555,0.00044555,0.00044555
79,469.051,0.77362,0.63963,1.04088,0.94111,0.95862,0.97715,0.79525,0.80745,0.42619,1.04644,0.000444843,0.000444843,0.000444843
80,475.02,0.74117,0.63144,1.02354,0.95464,0.9689,0.98147,0.80321,0.78056,0.39934,1.02494,0.000444136,0.000444136,0.000444136
81,481.096,0.76584,0.65593,1.03759,0.95144,0.94826,0.97494,0.79062,0.8008,0.42994,1.03841,0.000443429,0.000443429,0.000443429
82,487.036,0.7846,0.67186,1.04727,0.94347,0.95806,0.98105,0.78648,0.81984,0.44328,1.04628,0.000442721,0.000442721,0.000442721
83,492.863,0.75903,0.65327,1.04174,0.92338,0.966,0.98194,0.79555,0.79564,0.42108,1.03866,0.000442014,0.000442014,0.000442014
84,498.709,0.75274,0.62697,1.02794,0.94917,0.95674,0.97958,0.78863,0.83067,0.44299,1.05513,0.000441307,0.000441307,0.000441307
85,504.522,0.7667,0.64461,1.03996,0.94926,0.96223,0.98372,0.78747,0.81038,0.41342,1.04148,0.0004406,0.0004406,0.0004406
86,510.388,0.76069,0.63459,1.0311,0.94338,0.96643,0.98642,0.8109,0.75214,0.40219,1.01361,0.000439893,0.000439893,0.000439893
87,516.319,0.75595,0.62374,1.03261,0.94433,0.94913,0.97509,0.78994,0.78845,0.41159,1.04715,0.000439186,0.000439186,0.000439186
88,522.135,0.75193,0.64014,1.04522,0.9532,0.95633,0.97943,0.78708,0.82646,0.40834,1.04855,0.000438479,0.000438479,0.000438479
89,528.09,0.75119,0.62196,1.03638,0.92797,0.96651,0.9778,0.79765,0.80331,0.40946,1.02925,0.000437771,0.000437771,0.000437771
90,533.933,0.74547,0.61825,1.0258,0.93425,0.9527,0.98238,0.80969,0.72789,0.39399,0.99334,0.000437064,0.000437064,0.000437064
91,539.746,0.7552,0.60821,1.02319,0.94519,0.96697,0.98746,0.76822,0.90725,0.43502,1.08068,0.000436357,0.000436357,0.000436357
92,545.593,0.74279,0.61222,1.0259,0.94831,0.94791,0.98495,0.78253,0.85577,0.41132,1.06736,0.00043565,0.00043565,0.00043565
93,551.431,0.77485,0.63955,1.04451,0.94677,0.9548,0.98182,0.79952,0.79883,0.41284,1.03688,0.000434943,0.000434943,0.000434943
94,557.252,0.73844,0.6049,1.02224,0.93863,0.96134,0.98338,0.78627,0.84141,0.41779,1.04778,0.000434236,0.000434236,0.000434236
95,563.061,0.75026,0.63035,1.02963,0.95292,0.95392,0.98391,0.81551,0.73505,0.38953,0.99499,0.000433529,0.000433529,0.000433529
96,569.117,0.73624,0.61888,1.03484,0.95393,0.96261,0.98414,0.802,0.80181,0.4002,1.03611,0.000432821,0.000432821,0.000432821
97,574.916,0.76547,0.63673,1.03752,0.95488,0.96477,0.98776,0.7936,0.81757,0.41741,1.04666,0.000432114,0.000432114,0.000432114
98,580.756,0.74357,0.60145,1.02297,0.95276,0.95497,0.98405,0.80046,0.78816,0.4082,1.02728,0.000431407,0.000431407,0.000431407
99,586.562,0.74875,0.59755,1.01621,0.96248,0.95307,0.98543,0.78993,0.82512,0.39847,1.04714,0.0004307,0.0004307,0.0004307
100,592.39,0.73673,0.61677,1.01838,0.9471,0.95592,0.98109,0.77941,0.85856,0.40843,1.06362,0.000429993,0.000429993,0.000429993
101,598.361,0.74052,0.60154,1.01628,0.95294,0.95457,0.98404,0.79956,0.79002,0.40807,1.03232,0.000429286,0.000429286,0.000429286
102,604.183,0.7343,0.6085,1.01586,0.93064,0.96324,0.97943,0.79405,0.78579,0.40808,1.03746,0.000428579,0.000428579,0.000428579
103,610.121,0.73331,0.59929,1.02151,0.9334,0.9533,0.98287,0.80471,0.78623,0.40725,1.03317,0.000427871,0.000427871,0.000427871
104,615.951,0.73832,0.60808,1.03231,0.95314,0.9672,0.98359,0.79967,0.79952,0.3952,1.03605,0.000427164,0.000427164,0.000427164
105,621.761,0.74367,0.5974,1.02803,0.9353,0.97214,0.98448,0.78295,0.86081,0.39883,1.07647,0.000426457,0.000426457,0.000426457
106,627.61,0.74131,0.59636,1.03359,0.92575,0.9633,0.98194,0.81411,0.76018,0.40796,1.0168,0.00042575,0.00042575,0.00042575
107,633.432,0.7481,0.62638,1.03054,0.95656,0.94533,0.98171,0.8214,0.73433,0.38946,1.00071,0.000425043,0.000425043,0.000425043
108,639.369,0.73367,0.61004,1.0256,0.95273,0.95851,0.97687,0.79777,0.79182,0.39795,1.02357,0.000424336,0.000424336,0.000424336
109,645.175,0.74629,0.60027,1.01952,0.95146,0.96795,0.98737,0.81796,0.75443,0.38169,1.01395,0.000423629,0.000423629,0.000423629
110,651.136,0.73721,0.5933,1.01913,0.95371,0.96293,0.98321,0.8074,0.78119,0.39103,1.02216,0.000422921,0.000422921,0.000422921
111,656.955,0.7417,0.61613,1.02858,0.96647,0.95594,0.98501,0.78318,0.83965,0.40058,1.05318,0.000422214,0.000422214,0.000422214
112,662.771,0.72321,0.58702,1.01021,0.95832,0.94542,0.98546,0.78331,0.85968,0.40742,1.06486,0.000421507,0.000421507,0.000421507
113,668.599,0.73431,0.59373,1.02771,0.95411,0.95975,0.98387,0.80642,0.77578,0.38481,1.02564,0.0004208,0.0004208,0.0004208
114,674.438,0.72944,0.58406,1.01886,0.93702,0.97064,0.97833,0.78837,0.80679,0.41353,1.0465,0.000420093,0.000420093,0.000420093
115,680.279,0.73081,0.59217,1.01168,0.9676,0.96381,0.98882,0.80336,0.78731,0.38448,1.02885,0.000419386,0.000419386,0.000419386
116,686.099,0.73464,0.59992,1.0236,0.95968,0.96905,0.98748,0.79644,0.79868,0.40001,1.03537,0.000418679,0.000418679,0.000418679
117,691.897,0.71842,0.58051,1.01213,0.97525,0.93553,0.98182,0.80704,0.76272,0.38366,1.01318,0.000417971,0.000417971,0.000417971
118,697.829,0.71326,0.57517,0.99898,0.94235,0.95643,0.98204,0.80972,0.78096,0.37842,1.01829,0.000417264,0.000417264,0.000417264
119,703.641,0.71926,0.57969,1.01153,0.95117,0.95548,0.98106,0.80321,0.76605,0.40689,1.00899,0.000416557,0.000416557,0.000416557
120,709.464,0.72883,0.58462,1.02037,0.95729,0.95403,0.98476,0.81525,0.72937,0.36643,0.99529,0.00041585,0.00041585,0.00041585
121,715.262,0.73638,0.58107,1.02302,0.96685,0.95922,0.98439,0.81858,0.72136,0.36751,0.99517,0.000415143,0.000415143,0.000415143
122,721.086,0.72866,0.59807,1.0183,0.94999,0.9656,0.98754,0.80474,0.78105,0.37272,1.02475,0.000414436,0.000414436,0.000414436
123,727.002,0.72301,0.58501,1.01713,0.95896,0.97061,0.98699,0.80073,0.79646,0.36777,1.04402,0.000413729,0.000413729,0.000413729
124,732.833,0.70934,0.57415,1.01514,0.94877,0.97184,0.98735,0.79719,0.78049,0.3782,1.03064,0.000413021,0.000413021,0.000413021
125,738.645,0.72681,0.61061,1.02821,0.95757,0.9556,0.97891,0.79911,0.75676,0.38074,1.00926,0.000412314,0.000412314,0.000412314
126,744.583,0.70894,0.58136,1.01242,0.95375,0.96722,0.98069,0.80381,0.78826,0.35962,1.02363,0.000411607,0.000411607,0.000411607
127,750.396,0.71587,0.55652,1.01413,0.94915,0.95843,0.97748,0.80192,0.76601,0.37711,1.01773,0.0004109,0.0004109,0.0004109
128,756.216,0.73982,0.58243,1.02297,0.97259,0.96666,0.98637,0.82675,0.71533,0.36584,0.99668,0.000410193,0.000410193,0.000410193
129,762.129,0.70672,0.56157,1.00622,0.93142,0.97038,0.98655,0.81146,0.7481,0.36299,1.01029,0.000409486,0.000409486,0.000409486
130,767.968,0.71841,0.5605,1.0084,0.9574,0.96577,0.98765,0.79824,0.80025,0.36408,1.03263,0.000408779,0.000408779,0.000408779
131,773.783,0.71139,0.57958,1.00535,0.95919,0.96459,0.98162,0.81103,0.77272,0.35687,1.01568,0.000408071,0.000408071,0.000408071
132,779.602,0.70233,0.56022,1.01017,0.93771,0.97285,0.98363,0.82558,0.69806,0.35085,0.97916,0.000407364,0.000407364,0.000407364
133,785.548,0.71422,0.54609,1.01129,0.94287,0.97143,0.98258,0.81556,0.75246,0.3632,1.00535,0.000406657,0.000406657,0.000406657
134,791.388,0.69645,0.55327,1.00164,0.94652,0.97589,0.98599,0.80716,0.77195,0.3584,1.01185,0.00040595,0.00040595,0.00040595
135,797.207,0.69932,0.561,1.00014,0.95454,0.95215,0.98283,0.80222,0.78621,0.38685,1.02431,0.000405243,0.000405243,0.000405243
136,803.071,0.70932,0.56433,1.00323,0.92989,0.95212,0.98396,0.80937,0.78839,0.39044,1.02574,0.000404536,0.000404536,0.000404536
137,808.901,0.71734,0.5683,1.00797,0.94531,0.96834,0.98476,0.81385,0.75468,0.36565,1.0169,0.000403829,0.000403829,0.000403829
138,814.747,0.71452,0.57291,1.01502,0.94343,0.95901,0.98514,0.80158,0.78842,0.3952,1.022,0.000403121,0.000403121,0.000403121
139,820.574,0.71595,0.56028,1.01132,0.95887,0.94737,0.98755,0.81793,0.73375,0.35833,0.99339,0.000402414,0.000402414,0.000402414
140,826.525,0.7087,0.55565,0.99967,0.94951,0.9532,0.98134,0.81883,0.73538,0.3668,1.00001,0.000401707,0.000401707,0.000401707
141,832.339,0.70525,0.55322,1.0094,0.96046,0.96086,0.98479,0.82116,0.72329,0.3652,0.99492,0.000401,0.000401,0.000401
142,838.17,0.69021,0.54024,1.00556,0.96658,0.96615,0.99011,0.8232,0.71846,0.35319,0.99576,0.000400293,0.000400293,0.000400293
143,843.983,0.68948,0.54312,0.99336,0.95259,0.97415,0.98741,0.82265,0.73481,0.34736,0.99766,0.000399586,0.000399586,0.000399586
144,849.81,0.68924,0.53996,1.00023,0.97507,0.96645,0.98724,0.82143,0.72936,0.34401,1.00971,0.000398879,0.000398879,0.000398879
145,855.613,0.68533,0.53804,1.00282,0.96705,0.9594,0.98597,0.82363,0.70376,0.34039,0.98296,0.000398171,0.000398171,0.000398171
146,861.474,0.6811,0.54033,0.98876,0.95847,0.97729,0.98756,0.81769,0.73821,0.36409,0.99838,0.000397464,0.000397464,0.000397464
147,867.427,0.67435,0.53542,0.98984,0.96604,0.9681,0.98759,0.81537,0.76621,0.35142,1.01202,0.000396757,0.000396757,0.000396757
148,873.236,0.68509,0.53882,0.99906,0.97567,0.95739,0.98813,0.81008,0.78927,0.34771,1.04644,0.00039605,0.00039605,0.00039605
149,879.028,0.69595,0.535,1.00434,0.95117,0.96881,0.98687,0.80942,0.76861,0.3563,1.0234,0.000395343,0.000395343,0.000395343
150,884.865,0.68763,0.53226,0.99667,0.96091,0.95291,0.98503,0.82361,0.71588,0.34674,0.9875,0.000394636,0.000394636,0.000394636
151,890.668,0.69135,0.53389,1.00149,0.94229,0.96864,0.98621,0.81345,0.7498,0.36445,0.99976,0.000393929,0.000393929,0.000393929
152,896.502,0.69477,0.53882,1.00097,0.95941,0.96209,0.97668,0.82082,0.71328,0.37916,0.99228,0.000393221,0.000393221,0.000393221
153,902.31,0.69696,0.56207,1.00689,0.96637,0.96792,0.99048,0.82076,0.76295,0.35407,1.0134,0.000392514,0.000392514,0.000392514
154,908.155,0.68373,0.52907,1.00029,0.95952,0.96504,0.98762,0.83368,0.723,0.34666,0.99869,0.000391807,0.000391807,0.000391807
155,914.211,0.69688,0.5456,1.00265,0.96058,0.97687,0.99165,0.82724,0.72437,0.34889,0.99785,0.0003911,0.0003911,0.0003911
156,920.038,0.69639,0.5372,0.99583,0.95641,0.96738,0.98754,0.83242,0.70867,0.34491,0.97713,0.000390393,0.000390393,0.000390393
157,925.851,0.67848,0.52339,0.98695,0.97411,0.96229,0.98549,0.82452,0.72577,0.35324,0.98788,0.000389686,0.000389686,0.000389686
158,931.693,0.68375,0.5275,0.99293,0.93545,0.97735,0.98674,0.82604,0.71577,0.35462,0.98445,0.000388979,0.000388979,0.000388979
159,937.524,0.68278,0.54211,0.99624,0.97525,0.96962,0.98712,0.83436,0.69834,0.33333,0.97956,0.000388271,0.000388271,0.000388271
160,943.468,0.68539,0.53281,1.00536,0.96373,0.96386,0.98648,0.82402,0.74879,0.34846,1.01143,0.000387564,0.000387564,0.000387564
161,949.286,0.68945,0.54016,0.99653,0.9591,0.96771,0.98661,0.82323,0.72222,0.34342,0.98472,0.000386857,0.000386857,0.000386857
162,955.237,0.69044,0.5259,1.00088,0.97111,0.97056,0.98905,0.82769,0.73492,0.34204,0.9917,0.00038615,0.00038615,0.00038615
163,961.039,0.68024,0.53011,0.9968,0.95051,0.9629,0.98639,0.8276,0.71051,0.34697,0.99035,0.000385443,0.000385443,0.000385443
164,966.887,0.69327,0.53763,1.00085,0.96778,0.96563,0.98465,0.829,0.71889,0.33606,0.98886,0.000384736,0.000384736,0.000384736
165,972.724,0.67876,0.51734,0.98728,0.94415,0.96771,0.98885,0.8143,0.76546,0.34627,1.01495,0.000384029,0.000384029,0.000384029
166,978.551,0.67763,0.52804,0.99325,0.9652,0.97539,0.98996,0.83472,0.71956,0.32774,0.99775,0.000383321,0.000383321,0.000383321
167,984.49,0.68253,0.53793,1.00293,0.95371,0.96835,0.98822,0.82816,0.70377,0.33321,0.98274,0.000382614,0.000382614,0.000382614
168,990.327,0.67174,0.50105,0.98502,0.97371,0.97163,0.9901,0.83499,0.70579,0.32724,0.99159,0.000381907,0.000381907,0.000381907
169,996.231,0.66747,0.50284,0.98082,0.9457,0.97071,0.9873,0.83262,0.71241,0.34092,0.99047,0.0003812,0.0003812,0.0003812
170,1002.17,0.67031,0.52062,0.99117,0.97225,0.96188,0.98713,0.83146,0.71785,0.33313,0.99534,0.000380493,0.000380493,0.000380493
171,1007.97,0.66752,0.53407,0.9886,0.95295,0.96724,0.98627,0.83399,0.68892,0.33943,0.98069,0.000379786,0.000379786,0.000379786
172,1013.8,0.67932,0.51027,0.99659,0.95863,0.96431,0.98707,0.82461,0.72359,0.35192,1.0021,0.000379079,0.000379079,0.000379079
173,1019.63,0.69024,0.54174,1.00031,0.96939,0.96609,0.98274,0.81625,0.73411,0.34621,1.0007,0.000378371,0.000378371,0.000378371
174,1025.44,0.68001,0.52533,0.98637,0.96302,0.95289,0.9838,0.82761,0.73058,0.36164,1.01004,0.000377664,0.000377664,0.000377664
175,1031.26,0.67117,0.5175,0.97819,0.95919,0.96845,0.98686,0.82723,0.72973,0.3501,1.00435,0.000376957,0.000376957,0.000376957
176,1037.09,0.66744,0.50262,0.98649,0.95825,0.96907,0.98683,0.83008,0.71412,0.34458,0.99884,0.00037625,0.00037625,0.00037625
177,1043.06,0.66162,0.51221,0.98494,0.96009,0.96957,0.98735,0.83018,0.71616,0.33523,0.99574,0.000375543,0.000375543,0.000375543
178,1048.88,0.67951,0.53014,0.98562,0.95925,0.96623,0.98657,0.8264,0.71684,0.34638,0.99541,0.000374836,0.000374836,0.000374836
