epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1050.51,0.85217,0.65442,1.12849,0.95393,0.94843,0.97786,0.78983,0.7978,0.42091,1.04054,0.000471007,0.000471007,0.000471007
43,1075.35,0.84514,0.64658,1.12391,0.93745,0.95683,0.98044,0.80671,0.76067,0.40159,1.02242,0.0004703,0.0004703,0.0004703
44,1100.29,0.85271,0.6706,1.13138,0.96398,0.95973,0.98149,0.83359,0.69098,0.36948,0.99658,0.000469593,0.000469593,0.000469593
45,1125.37,0.84167,0.651,1.13082,0.94509,0.96417,0.98596,0.79824,0.78808,0.37078,1.04449,0.000468886,0.000468886,0.000468886
46,1150.19,0.83012,0.62232,1.12024,0.94819,0.97517,0.98918,0.82578,0.7245,0.3636,0.99987,0.000468179,0.000468179,0.000468179
47,1175.01,0.83621,0.63167,1.1184,0.96152,0.9539,0.98232,0.81585,0.72971,0.37863,1.00509,0.000467471,0.000467471,0.000467471
48,1200.06,0.82499,0.63152,1.1139,0.95004,0.96925,0.98002,0.82917,0.6805,0.37219,0.99291,0.000466764,0.000466764,0.000466764
49,1224.89,0.82111,0.63067,1.10863,0.94296,0.95723,0.97996,0.82546,0.68353,0.38449,0.98828,0.000466057,0.000466057,0.000466057
50,1249.76,0.82159,0.62779,1.10926,0.95562,0.95191,0.97469,0.81736,0.69645,0.37038,0.99231,0.00046535,0.00046535,0.00046535
51,1274.58,0.82229,0.6268,1.11322,0.95529,0.97429,0.98109,0.8199,0.71137,0.36089,1.0116,0.000464643,0.000464643,0.000464643
52,1299.54,0.81598,0.63286,1.11723,0.9522,0.95971,0.98256,0.8227,0.71954,0.37381,1.00431,0.000463936,0.000463936,0.000463936
53,1324.39,0.81257,0.61764,1.10499,0.92325,0.95679,0.98078,0.81837,0.71543,0.41842,1.00143,0.000463229,0.000463229,0.000463229
54,1349.23,0.81439,0.61181,1.10581,0.94767,0.96383,0.98617,0.8106,0.74641,0.36402,1.01097,0.000462521,0.000462521,0.000462521
55,1374.06,0.81374,0.60869,1.10498,0.92991,0.96643,0.98229,0.80634,0.77532,0.38217,1.03146,0.000461814,0.000461814,0.000461814
56,1398.98,0.81013,0.61778,1.1025,0.95628,0.96551,0.98393,0.81249,0.73222,0.38302,1.01642,0.000461107,0.000461107,0.000461107
57,1423.8,0.81136,0.61107,1.10781,0.96112,0.97651,0.98723,0.81923,0.73439,0.36388,1.0051,0.0004604,0.0004604,0.0004604
58,1448.63,0.80414,0.59719,1.10166,0.95843,0.9598,0.98468,0.81485,0.75291,0.36414,1.02236,0.000459693,0.000459693,0.000459693
59,1473.63,0.79157,0.5798,1.10364,0.94327,0.9488,0.97219,0.78771,0.77786,0.40866,1.02159,0.000458986,0.000458986,0.000458986
